conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.987,759810119,serotonin,0.999909520149231,serotonin,759810119,1671292719,AL(R),AL(R),16753,35336,25948,16730,35327,25947,0.987,0.9904
0.963,669325882,serotonin,0.9974040389060974,serotonin,669325882,1352011957,SPS(R),SPS(R),18744,13148,25983,18744,13148,25996,0.963,0.994945
0.997,759810119,serotonin,0.9999537467956543,serotonin,759810119,5813024698,AL(R),AL(R),16299,30272,26000,16330,30271,25992,0.997,0.995678
0.979,759810119,serotonin,0.9924998879432678,serotonin,759810119,5813024710,AL(R),AL(R),14856,32207,26029,14852,32195,26017,0.979,0.953679
0.974,759810119,serotonin,0.9937923550605774,serotonin,759810119,5813024698,AL(R),AL(R),20644,36207,26055,20632,36218,26049,0.974,0.9797
0.984,759810119,serotonin,0.9970892071723938,serotonin,759810119,1640909284,AL(R),AL(R),19752,31135,26059,19771,31128,26063,0.984,0.99385
0.985,759810119,serotonin,0.9980417490005493,serotonin,759810119,5813024698,AL(R),AL(R),15249,30337,26062,15246,30344,26049,0.985,0.998986
0.975,669325882,serotonin,0.9937454462051392,serotonin,669325882,1721218845,SPS(L),SPS(L),31424,17363,26089,31417,17372,26087,0.975,0.98135
0.952,759810119,serotonin,0.9958038926124573,serotonin,759810119,5901218894,AL(R),AL(R),16720,30605,26115,16729,30595,26107,0.952,0.990271
0.98,759810119,serotonin,0.9999910593032837,serotonin,759810119,1793014716,AL(R),AL(R),14518,32569,26115,14521,32565,26105,0.98,0.999996
0.991,759810119,serotonin,0.9991883635520935,serotonin,759810119,5901206553,AL(R),AL(R),15609,32324,26121,15620,32310,26125,0.991,0.953455
0.985,759810119,serotonin,0.9952488541603088,serotonin,759810119,5813039309,AL(R),AL(R),17069,31114,26122,17061,31114,26109,0.985,0.969118
0.985,759810119,serotonin,0.9952488541603088,serotonin,759810119,1640909284,AL(R),AL(R),17069,31114,26122,17074,31114,26109,0.985,0.963458
0.984,759810119,serotonin,0.9999990463256836,serotonin,759810119,1640909284,AL(R),AL(R),20593,33917,26134,20601,33903,26129,0.984,0.952738
0.984,759810119,serotonin,0.9999599456787109,serotonin,759810119,5813024698,AL(R),AL(R),18598,29729,26139,18612,29709,26152,0.984,0.958893
0.976,759810119,serotonin,0.9999977350234985,serotonin,759810119,1887867926,AL(R),AL(R),17451,33686,26177,17432,33694,26169,0.976,0.961264
0.976,759810119,serotonin,0.9999977350234985,serotonin,759810119,1670265016,AL(R),AL(R),17451,33686,26177,17441,33679,26169,0.976,0.995814
0.999,759810119,serotonin,0.9999951124191284,serotonin,759810119,1640909284,AL(R),AL(R),18010,30579,26210,18011,30575,26191,0.999,0.966396
0.962,669325882,serotonin,0.9951568245887756,serotonin,669325882,5813023129,SPS(R),SPS(R),19683,12231,26215,19684,12216,26211,0.962,0.99878
0.962,759810119,serotonin,0.9999325275421143,serotonin,759810119,1640909284,AL(R),AL(R),15496,33178,26215,15481,33185,26207,0.962,0.986562
0.957,759810119,serotonin,0.9999912977218628,serotonin,759810119,1640909284,AL(R),AL(R),15160,33369,26309,15163,33378,26294,0.957,0.98126
0.959,669325882,serotonin,0.9981276392936707,serotonin,669325882,1561550434,SPS(R),SPS(R),20332,14639,26315,20335,14639,26322,0.959,1.0
0.975,791527493,serotonin,0.9983645081520081,serotonin,791527493,1660771879,SPS(R),SPS(R),22736,13527,26333,22744,13527,26320,0.975,0.994384
0.987,759810119,serotonin,0.9940024018287659,serotonin,759810119,1640909284,AL(R),AL(R),15393,31242,26347,15377,31249,26352,0.987,0.960599
0.987,759810119,serotonin,0.9940024018287659,serotonin,759810119,1640572741,AL(R),AL(R),15393,31242,26347,15383,31234,26352,0.987,0.973975
0.983,759810119,serotonin,0.9999157190322876,serotonin,759810119,5813024698,AL(R),AL(R),19198,31860,26354,19216,31872,26354,0.983,0.955982
0.961,759810119,serotonin,0.9954948425292969,serotonin,759810119,1946850979,AL(R),AL(R),16787,30654,26388,16770,30654,26390,0.961,0.985337
0.973,759810119,serotonin,0.9999997615814209,serotonin,759810119,5813018460,AL(R),AL(R),20517,28575,26412,20527,28568,26399,0.973,0.99226
0.973,759810119,serotonin,0.9999997615814209,serotonin,759810119,1640909284,AL(R),AL(R),20517,28575,26412,20517,28580,26399,0.973,0.984196
0.968,759810119,serotonin,0.9998563528060913,serotonin,759810119,5813066988,AL(R),AL(R),17995,33583,26417,17991,33594,26420,0.968,0.957383
