conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.96,759810119,serotonin,0.999972939491272,serotonin,759810119,5813024698,AL(R),AL(R),19796,34615,30408,19812,34623,30411,0.96,0.968733
0.96,759810119,serotonin,0.999972939491272,serotonin,759810119,1671257931,AL(R),AL(R),19796,34615,30408,19792,34629,30417,0.96,0.988512
0.995,759810119,serotonin,0.9970515966415405,serotonin,759810119,5813024698,AL(R),AL(R),19355,31265,30417,19367,31254,30408,0.995,0.991047
0.994,791527493,serotonin,0.9912863373756409,serotonin,791527493,5813054846,WED(R),WED(R),11035,17215,30454,11043,17208,30458,0.994,0.991824
0.973,759810119,serotonin,0.9972412586212158,serotonin,759810119,5901206553,AL(R),AL(R),20352,31352,30465,20346,31341,30465,0.973,0.996074
0.973,759810119,serotonin,0.9972412586212158,serotonin,759810119,5813034493,AL(R),AL(R),20352,31352,30465,20362,31344,30479,0.973,0.975045
0.967,759810119,serotonin,0.9970831274986267,serotonin,759810119,5813018460,AL(R),AL(R),15019,30473,30588,15028,30465,30582,0.967,0.99173
0.971,759810119,serotonin,1.0,serotonin,759810119,1640909284,AL(R),AL(R),20040,30220,30733,20044,30201,30738,0.971,0.985335
0.971,759810119,serotonin,1.0,serotonin,759810119,1640572741,AL(R),AL(R),20040,30220,30733,20029,30206,30738,0.971,0.9981
0.974,759810119,serotonin,0.9999803304672241,serotonin,759810119,2138197442,AL(R),AL(R),20598,35158,30791,20598,35154,30780,0.974,0.999645
0.974,759810119,serotonin,0.9999803304672241,serotonin,759810119,1640909284,AL(R),AL(R),20598,35158,30791,20606,35170,30780,0.974,0.995423
0.992,759810119,serotonin,0.9999626874923706,serotonin,759810119,1640909284,AL(R),AL(R),19176,33275,30881,19186,33265,30887,0.992,0.983452
0.989,759810119,serotonin,0.999618649482727,serotonin,759810119,5813024698,AL(R),AL(R),15026,31726,31108,15035,31717,31095,0.989,0.994473
0.989,759810119,serotonin,0.999618649482727,serotonin,759810119,1671292719,AL(R),AL(R),15026,31726,31108,15023,31719,31095,0.989,0.962838
0.955,759810119,serotonin,1.0,serotonin,759810119,1699974843,AL(R),AL(R),19868,28166,31253,19885,28173,31255,0.955,0.964096
0.955,759810119,serotonin,1.0,serotonin,759810119,1640909284,AL(R),AL(R),19868,28166,31253,19887,28158,31255,0.955,0.985213
