neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron4,0.965,486315287,dopamine,0.33283647894859314,dopamine,486315287,1039771821,FB,FB,28965,21510,17612,28975,21526,17611,0.965,0.997106
neuron5,0.955,5813071348,dopamine,0.8871820569038391,dopamine,5813071348,1160752165,ICL(R),ICL(R),20044,15537,17601,20041,15535,17589,0.955,0.986516
neuron5,0.974,5813071348,dopamine,0.8364267349243164,dopamine,5813071348,977866721,LH(R),LH(R),6872,19637,16735,6861,19647,16728,0.974,0.986496
neuron5,0.967,5813071348,dopamine,0.8312387466430664,dopamine,5813071348,1193029926,PLP(R),PLP(R),7253,18081,19285,7258,18076,19296,0.967,0.954204
neuron5,0.978,5813071348,dopamine,0.9092563390731812,dopamine,5813071348,418224293,LH(R),LH(R),9253,19149,14354,9246,19141,14356,0.978,0.969753
neuron5,0.997,5813071348,dopamine,0.8115196228027344,dopamine,5813071348,1170344185,CA(R),CA(R),14282,15107,12271,14285,15124,12268,0.997,0.965905
neuron5,0.977,5813071348,dopamine,0.7033580541610718,dopamine,5813071348,5813024712,CA(R),CA(R),15258,13780,10358,15271,13774,10365,0.977,0.966567
neuron5,0.952,5813071348,dopamine,0.9342753291130066,dopamine,5813071348,295828029,SCL(R),SCL(R),12029,16501,14483,12026,16493,14486,0.952,0.994834
neuron5,0.993,5813071348,dopamine,0.9019355177879333,dopamine,5813071348,5813041244,LH(R),LH(R),5597,16770,15363,5612,16775,15366,0.993,0.952074
neuron5,0.996,5813071348,dopamine,0.9445233941078186,dopamine,5813071348,758903321,PLP(R),PLP(R),6226,17228,16544,6215,17226,16550,0.996,0.979003
neuron5,0.968,5813071348,dopamine,0.6705306768417358,dopamine,5813071348,673366098,PLP(R),PLP(R),6669,19173,17679,6669,19186,17679,0.968,0.976598
neuron5,0.992,5813071348,dopamine,0.9881603717803955,dopamine,5813071348,1347979604,ICL(R),ICL(R),19326,16994,18547,19325,16982,18556,0.992,0.966673
neuron5,0.974,5813071348,dopamine,0.5723469257354736,dopamine,5813071348,1009315757,SCL(R),SCL(R),18927,19529,14731,18923,19524,14743,0.974,0.980383
neuron5,0.985,5813071348,dopamine,0.9177008271217346,dopamine,5813071348,542376096,SMP(R),SMP(R),23626,18951,13431,23624,18937,13421,0.985,0.997092
neuron5,0.973,5813071348,dopamine,0.7252783179283142,dopamine,5813071348,633793553,SLP(R),SLP(R),14191,16442,10545,14189,16457,10551,0.973,0.997871
neuron5,0.989,5813071348,dopamine,0.4117380678653717,dopamine,5813071348,944729312,LH(R),LH(R),5330,20646,16587,5332,20634,16590,0.989,0.987641
neuron6,0.959,1224258912,dopamine,0.9495456218719482,dopamine,1224258912,1224249917,FB,FB,25332,18125,18650,25343,18134,18650,0.959,0.990762
neuron6,0.957,1224258912,dopamine,0.4105275273323059,dopamine,1224258912,326521082,FB,FB,29469,19809,21808,29467,19787,21820,0.957,0.969907
neuron6,0.961,1224258912,dopamine,0.7877129316329956,dopamine,1224258912,1292514773,FB,FB,29916,20932,20842,29938,20921,20835,0.961,0.966826
neuron6,0.978,1224258912,dopamine,0.5881660580635071,dopamine,1224258912,1320480289,FB,FB,30424,23408,22533,30417,23417,22533,0.978,0.966466
neuron6,0.989,1224258912,dopamine,0.9134642481803894,dopamine,1224258912,1040056887,FB,FB,24172,20675,21165,24162,20674,21164,0.989,0.999882
